date_id;CO₂-Emissionsfaktor des Strommix;Strompreis
644;473.4489432;74.92
645;464.8095285;76.01
646;459.8064548;76.25
647;457.1772287;74.45
648;449.8208283;70.29
649;446.0377027;80.42
650;442.6542419;74.3
651;436.1428991;70.81
652;424.3838948;65.66
653;404.3993448;88.4
654;396.6860377;71.89
655;385.1401626;61.6
656;371.9255924;51.9
657;348.0477091;87.2
658;340.3330387;69.36
659;330.9613319;50.94
660;322.1902143;36.5
661;311.5238973;72.85
662;308.7180953;63.42
663;306.268121;46.97
664;300.458607;30.51
665;292.0689072;73.16
666;283.5029303;58.71
667;280.0281637;41.6
668;280.4084402;25.26
669;266.9140998;64.54
670;264.8849696;50.95
671;262.1391728;34.2
672;261.9783322;19.46
673;254.7743501;27.81
674;257.9724533;17.2
675;260.4035575;1.5
676;261.2244373;-5.85
677;255.3030658;16.63
678;253.2376588;8.83
679;252.15089;3.76
680;254.2925259;-2.91
681;254.9968462;12.57
682;255.4935994;1.31
683;256.4590294;0.6
684;256.1942419;2.3
685;255.4460303;1.73
686;254.7607581;7.2
687;254.2789412;1.31
688;253.7328245;1.75
689;249.9759737;1.84
690;250.9143168;3.25
691;251.3793819;5.42
692;253.2481719;15
693;256.8128465;-3.13
694;261.4350705;5.69
695;260.9435433;17.37
696;259.0737001;29.27
697;265.2897832;3.46
698;267.6086662;25.54
699;263.9134808;40.08
700;263.6498965;44.92
701;270.5184236;23.5
702;279.281345;39.44
703;282.7928996;50.85
704;287.2609344;55.13
705;287.5642404;37.81
706;288.5320172;42.22
707;289.6989044;45.3
708;288.6871406;47.3
709;286.9955128;39.29
710;286.8132006;41.96
711;283.7865026;45.96
712;280.7434907;43.2
713;279.1782741;36.8
714;278.978273;40.15
715;276.9829913;40.39
716;275.7573174;41.32
717;274.5772377;33.1
718;272.3361448;38.8
719;270.2031002;41.1
720;269.3273251;39.24
721;266.0482147;38
722;264.9801411;34.6
723;266.1846438;37.42
724;265.3964838;37.3
725;262.5387031;38.63
726;264.0775655;40
727;263.6028668;37.13
728;263.8572174;33.02
729;263.0676487;33.47
730;265.2296666;35.2
731;266.6452209;37.1
732;267.253012;37.71
733;265.3248258;37.46
734;268.5643619;38.09
735;269.5733457;40
736;270.8642151;39.2
737;272.1323673;33.98
738;274.0243599;34.73
739;271.5732757;42
740;269.6685685;49.69
741;270.279623;35.14
742;270.4078648;43.09
743;271.7056702;42.18
744;272.9883364;42
745;276.6136499;42.37
